label,threshold,agg,p1_n,p1_splits,p1_ba,p1_min,p1_hc,p1_dep,p2_n,p2_splits,p2_ba,p2_min,p2_worst_combo,p2_hc,p2_dep
p01_wide_carz_s7 (neural:deformer_lite),min_recall,vote_frac,5,"f0,f1,f2,f3,f4",0.7121,0.5351,0.8834,0.5408,4,"h123,h456,h666,h999",0.7197,0.5738,0.3750,0.8136,0.6257
p01_wide_carz_s7 (neural:deformer_lite),balanced_accuracy,vote_frac,5,"f0,f1,f2,f3,f4",0.7097,0.5500,0.8695,0.5498,4,"h123,h456,h666,h999",0.7103,0.5215,0.5000,0.7041,0.7166
p02_depth1_z_s2024 (neural:deformer_lite),balanced_accuracy,mean,5,"f0,f1,f2,f3,f4",0.6494,0.4887,0.7771,0.5216,4,"h123,h456,h666,h999",0.6723,0.5651,0.4375,0.8977,0.4470
p02_depth1_z_s2024 (neural:deformer_lite),fixed_0_5,mean,5,"f0,f1,f2,f3,f4",0.6497,0.4931,0.8770,0.4224,4,"h123,h456,h666,h999",0.6686,0.4978,0.4375,0.9631,0.3742
p05_depth2_z_s99 (neural:deformer_lite),balanced_accuracy,mean,5,"f0,f1,f2,f3,f4",0.6827,0.5200,0.6213,0.7442,4,"h123,h456,h666,h999",0.6656,0.5350,0.4375,0.7724,0.5589
p04_base_z_s99 (neural:deformer_lite),balanced_accuracy,mean,5,"f0,f1,f2,f3,f4",0.6796,0.5369,0.6352,0.7241,4,"h123,h456,h666,h999",0.6589,0.5555,0.3125,0.6149,0.7029
p04_base_z_s99 (neural:deformer_lite),min_recall,mean,5,"f0,f1,f2,f3,f4",0.7081,0.6095,0.7602,0.6560,4,"h123,h456,h666,h999",0.6578,0.5779,0.4375,0.7515,0.5640
traditional+time_frequency [trad_tf_w0p5],fixed_0_5,mean,5,"f0,f1,f2,f3,f4",0.7927,0.6086,0.7499,0.8356,4,"h123,h456,h666,h999",0.6549,0.4536,0.2500,0.5726,0.7372
traditional_time_frequency,fixed_0_5,mean,5,"f0,f1,f2,f3,f4",0.8025,0.5981,0.7307,0.8744,4,"h123,h456,h666,h999",0.6357,0.4988,0.3125,0.5260,0.7454
traditional_graph,fixed_0_5,mean,5,"f0,f1,f2,f3,f4",0.8011,0.5970,0.7312,0.8710,4,"h123,h456,h666,h999",0.6345,0.5031,0.3125,0.5287,0.7403
traditional,fixed_0_5,mean,5,"f0,f1,f2,f3,f4",0.8007,0.5980,0.7300,0.8714,4,"h123,h456,h666,h999",0.6342,0.4980,0.3125,0.5296,0.7387
p03_zscore_tuned_s99 (neural:deformer_lite),min_recall,mean,5,"f0,f1,f2,f3,f4",0.6398,0.4400,0.7365,0.5431,4,"h123,h456,h666,h999",0.6337,0.5981,0.3750,0.7008,0.5667
p03_zscore_tuned_s99 (neural:deformer_lite),balanced_accuracy,mean,5,"f0,f1,f2,f3,f4",0.6545,0.5865,0.7678,0.5412,4,"h123,h456,h666,h999",0.6268,0.5900,0.3750,0.8078,0.4457
traditional+graph_connectivity [trad_graph_w0p5],balanced_accuracy,mean,5,"f0,f1,f2,f3,f4",0.7678,0.5261,0.7072,0.8284,4,"h123,h456,h666,h999",0.6199,0.4982,0.3125,0.7747,0.4652
time_frequency,fixed_0_5,mean,5,"f0,f1,f2,f3,f4",0.6455,0.4633,0.6715,0.6195,4,"h123,h456,h666,h999",0.6104,0.5032,0.1875,0.6203,0.6004
