group	candidate_id	model_name	n_rows	stages	epochs	crop_combo_expected_ba_mean	crop_combo_expected_ba_min	crop_combo_expected_ba_max	crop_combo_worst_ba_mean	crop_combo_worst_ba_min	crop_combo_worst_ba_max	crop_combo_expected_min_recall_mean	crop_combo_expected_min_recall_min	crop_combo_expected_min_recall_max	crop_combo_expected_recall_gap_mean	crop_combo_expected_recall_gap_min	crop_combo_expected_recall_gap_max	subject_ba_mean	hc_subject_recall_mean	dep_subject_recall_mean	calibration	sampling	threshold_objective	aggregation	model_kwargs
backbone	tsc_f8_k31_63_drop045	tsception	20	confirm_inner,confirm_outer,rung2	22	0.7609808404848485	0.5335192	0.91372	0.5629356060606061	0.3125	0.8125	0.6587731452121212	0.4076694807272726	0.82744	0.20441539054545455	0.05395587878787879	0.44784	0.801780303030303	0.7952272727272728	0.8083333333333333	temperature	window	balanced_accuracy	vote_frac	"{""classifier_hidden_dim"": 48, ""dropout"": 0.45, ""n_filters"": 8, ""temporal_kernel_sizes"": [31, 63]}"
topbackbone	tsc4_platt_vote_b192	tsception	1	rung2	22	0.7402858666666668	0.7402858666666668	0.7402858666666668	0.44696969696969696	0.44696969696969696	0.44696969696969696	0.672902904242424	0.672902904242424	0.672902904242424	0.13476592484848493	0.13476592484848493	0.13476592484848493	0.8257575757575758	0.8181818181818182	0.8333333333333334	platt	window	balanced_accuracy	vote_frac	"{""classifier_hidden_dim"": 32, ""dropout"": 0.35, ""n_filters"": 4, ""temporal_kernel_sizes"": [31, 63]}"
topbackbone	tsc8_minrec_vote_b160	tsception	20	confirm_inner,confirm_outer,rung2	22	0.7357959294545455	0.5163147636363636	0.8695575272727274	0.5394507575757576	0.33636363636363636	0.6875	0.6303600057212121	0.26704	0.8113784087272726	0.21087184746666668	0.05731404800000006	0.62136	0.7733522727272728	0.7917045454545455	0.755	temperature	window	min_recall	vote_frac	"{""classifier_hidden_dim"": 48, ""dropout"": 0.45, ""n_filters"": 8, ""temporal_kernel_sizes"": [31, 63]}"
backbone	tsc_f4_k31_63_vote	tsception	20	confirm_inner,confirm_outer,rung2	22	0.7314653527272728	0.51081088	0.8533480727272725	0.5493371212121212	0.35	0.7090909090909091	0.5911914867393939	0.3652654545454544	0.804801629090909	0.2805477319757576	0.011721984000000006	0.6317664	0.7662689393939394	0.7467045454545455	0.7858333333333334	temperature	window	balanced_accuracy	vote_frac	"{""classifier_hidden_dim"": 32, ""dropout"": 0.35, ""n_filters"": 4, ""temporal_kernel_sizes"": [31, 63]}"
deformer_reference	p01_vote_platt_window	deformer_lite	20	confirm_inner,confirm_outer,rung2	22	0.7300608219636364	0.576896	0.8924784	0.5314962121212121	0.35	0.6875	0.5811901967515151	0.29381119999999994	0.79688608	0.29774125042424243	0.13113199709090917	0.6903051636363636	0.754280303030303	0.7402272727272727	0.7683333333333333	platt	window	balanced_accuracy	vote_frac	"{""conv_channels"": 24, ""dropout"": 0.4, ""embedding_dim"": 48, ""transformer_depth"": 1}"
deformer_reference	conv24_emb48_lr7e4	deformer_lite	20	confirm_inner,confirm_outer,rung2	22	0.7267480615757576	0.5334552	0.861016	0.5353598484848485	0.33636363636363636	0.75	0.5859082982787878	0.25512	0.7386456048484847	0.28167952659393936	0.07749196800000005	0.6931792	0.749469696969697	0.7647727272727273	0.7341666666666666	temperature	window	balanced_accuracy	vote_frac	"{""conv_channels"": 24, ""dropout"": 0.4, ""embedding_dim"": 48, ""transformer_depth"": 1}"
hybrid_resume	tri_context_wide_vote	tri_context_gate	20	confirm_inner,confirm_outer,rung2	18,22	0.7213466358787879	0.5629919999999999	0.9646912000000002	0.542405303030303	0.375	0.7181818181818183	0.5798618886787879	0.2	0.932662784	0.2829694944	0.025063175757575756	0.7259839999999999	0.7422916666666667	0.73875	0.7458333333333333	temperature	window	balanced_accuracy	vote_frac	"{""conformer"": {""conv_dropout"": 0.3, ""depth"": 1, ""dropout"": 0.45, ""emb_size"": 32, ""num_heads"": 4}, ""fbstcnet"": {""F1"": 12, ""F2"": 12, ""gamma"": 200, ""n_bands"": 6, ""pool_size"": 80, ""variant"": ""M""}, ""fusion_temperature"": 1.0, ""gate_dropout"": 0.25, ""gate_hidden_dim"": 24, ""srf"": {""depth"": 1, ""dropout"": 0.4, ""emb_size"": 24, ""feature_dim"": 48, ""num_heads"": 4}}"
deformer_reference	conv32_emb48_vote	deformer_lite	20	confirm_inner,confirm_outer,rung2	22	0.7209556001454546	0.587604	0.83129248	0.5500378787878788	0.4	0.6875	0.5990942410666666	0.35464550400000006	0.75575584	0.24372271815757576	0.10947232	0.5460410181818182	0.7398674242424242	0.7505681818181819	0.7291666666666666	temperature	window	balanced_accuracy	vote_frac	"{""conv_channels"": 32, ""dropout"": 0.4, ""embedding_dim"": 48, ""transformer_depth"": 1}"
topbackbone	tsc4_minrec_vote_b192	tsception	20	confirm_inner,confirm_outer,rung2	22	0.7192929172848485	0.5391882666666666	0.8869254399999998	0.5323674242424242	0.33636363636363636	0.75	0.6013956565333334	0.25	0.834470912	0.23579452150303032	0.0643122424242425	0.67672	0.7613257575757576	0.7993181818181818	0.7233333333333334	temperature	window	min_recall	vote_frac	"{""classifier_hidden_dim"": 32, ""dropout"": 0.35, ""n_filters"": 4, ""temporal_kernel_sizes"": [31, 63]}"
toppreproc	zscore_tsc8_platt_vote_b160	tsception	1	rung2	22	0.6946932363636364	0.6946932363636364	0.6946932363636364	0.5303030303030303	0.5303030303030303	0.5303030303030303	0.5880136921212121	0.5880136921212121	0.5880136921212121	0.21335908848484864	0.21335908848484864	0.21335908848484864	0.6590909090909092	0.8181818181818182	0.5	platt	window	balanced_accuracy	vote_frac	"{""classifier_hidden_dim"": 48, ""dropout"": 0.45, ""n_filters"": 8, ""temporal_kernel_sizes"": [31, 63]}"
