strategy	outer_fold	weight_name	win_temp	win_platt	sub_temp	sort_ba	sort_hc_recall	sort_dep_recall	sort_min_recall	sort_recall_gap	sort_dep_count	subject_ba	hc_recall	dep_recall	crop_combo_expected_ba	crop_combo_worst_ba	crop_combo_expected_min_recall	crop_combo_expected_recall_gap	min_recall	recall_gap
equal	0	w0p33_0p33_0p33	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.8125	0.875	0.75	0.75	0.125	4.0	0.75	0.75	0.75	0.75110688	0.75	0.75	0.00221376	0.75	0.0
equal	1	w0p33_0p33_0p33	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	1.0	0.0	4.0	0.9375	0.875	1.0	0.90979728	0.8125	0.81959456	0.18040544	0.875	0.125
equal	2	w0p33_0p33_0p33	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.8125	0.875	0.75	0.75	0.125	4.0	0.75	1.0	0.5	0.7219936	0.625	0.4439872	0.5560128	0.5	0.5
equal	3	w0p33_0p33_0p33	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.625	0.75	0.5	0.5	0.25	4.0	0.5625	0.875	0.25	0.58094592	0.5	0.25450176	0.65288832	0.25	0.625
equal	4	w0p33_0p33_0p33	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.8125	0.875	0.75	0.75	0.125	4.0	0.8125	0.875	0.75	0.78031728	0.625	0.68270048	0.1952336	0.75	0.125
p2_w0p25_0p15_0p60	0	w0p25_0p15_0p60	0.25	0.15	0.6	0.8125	0.875	0.75	0.75	0.125	4.0	0.75	0.75	0.75	0.7682944	0.75	0.75	0.0365888	0.75	0.0
p2_w0p25_0p15_0p60	1	w0p25_0p15_0p60	0.25	0.15	0.6	1.0	1.0	1.0	1.0	0.0	4.0	0.875	0.75	1.0	0.8262328	0.6875	0.6524656	0.3475344	0.75	0.25
p2_w0p25_0p15_0p60	2	w0p25_0p15_0p60	0.25	0.15	0.6	0.8125	0.875	0.75	0.75	0.125	4.0	0.75	1.0	0.5	0.72278784	0.625	0.44557568	0.55442432	0.5	0.5
p2_w0p25_0p15_0p60	3	w0p25_0p15_0p60	0.25	0.15	0.6	0.625	0.75	0.5	0.5	0.25	4.0	0.625	1.0	0.25	0.59823376	0.5	0.25058176	0.695304	0.25	0.75
p2_w0p25_0p15_0p60	4	w0p25_0p15_0p60	0.25	0.15	0.6	0.8125	0.875	0.75	0.75	0.125	4.0	0.8125	0.875	0.75	0.86333952	0.6875	0.79811744	0.13044416	0.75	0.125
p2_w0p20_0p20_0p60	0	w0p20_0p20_0p60	0.2	0.2	0.6	0.8125	0.875	0.75	0.75	0.125	4.0	0.75	0.75	0.75	0.76671808	0.75	0.75	0.03343616	0.75	0.0
p2_w0p20_0p20_0p60	1	w0p20_0p20_0p60	0.2	0.2	0.6	1.0	1.0	1.0	1.0	0.0	4.0	0.875	0.75	1.0	0.8458576	0.6875	0.6917152	0.3082848	0.75	0.25
p2_w0p20_0p20_0p60	2	w0p20_0p20_0p60	0.2	0.2	0.6	0.8125	0.875	0.75	0.75	0.125	4.0	0.75	1.0	0.5	0.72581632	0.625	0.45163264	0.54836736	0.5	0.5
p2_w0p20_0p20_0p60	3	w0p20_0p20_0p60	0.2	0.2	0.6	0.625	0.75	0.5	0.5	0.25	4.0	0.5625	0.875	0.25	0.59299072	0.5	0.25084224	0.68429696	0.25	0.625
p2_w0p20_0p20_0p60	4	w0p20_0p20_0p60	0.2	0.2	0.6	0.8125	0.875	0.75	0.75	0.125	4.0	0.8125	0.875	0.75	0.83350032	0.625	0.77120608	0.12458848	0.75	0.125
p3_global_inner_selected	0	w0p00_0p50_0p50	0.0	0.5	0.5	0.8125	0.875	0.75	0.75	0.125	4.0	0.75	0.75	0.75	0.7515984	0.6875	0.74998656	0.00322368	0.75	0.0
p3_global_inner_selected	1	w0p00_0p50_0p50	0.0	0.5	0.5	1.0	1.0	1.0	1.0	0.0	4.0	1.0	1.0	1.0	0.98380544	0.875	0.96761088	0.03238912	1.0	0.0
p3_global_inner_selected	2	w0p00_0p50_0p50	0.0	0.5	0.5	0.8125	0.875	0.75	0.75	0.125	4.0	0.75	1.0	0.5	0.73901824	0.625	0.47803648	0.52196352	0.5	0.5
p3_global_inner_selected	3	w0p00_0p50_0p50	0.0	0.5	0.5	0.625	0.75	0.5	0.5	0.25	4.0	0.5625	0.875	0.25	0.57233696	0.5	0.25551936	0.6336352	0.25	0.625
p3_global_inner_selected	4	w0p00_0p50_0p50	0.0	0.5	0.5	0.8125	0.875	0.75	0.75	0.125	4.0	0.75	1.0	0.5	0.7484376	0.6875	0.5425472	0.4117808	0.5	0.5
p3_per_outer_inner_selected	0	w0p00_0p00_1p00	0.0	0.0	1.0	0.8125	0.875	0.75	0.75	0.125	4.0	0.8125	0.875	0.75	0.79770864	0.625	0.74898432	0.09744864	0.75	0.125
p3_per_outer_inner_selected	1	w0p00_0p00_1p00	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	4.0	0.6875	0.375	1.0	0.71580992	0.6875	0.43161984	0.56838016	0.375	0.625
p3_per_outer_inner_selected	2	w0p00_0p10_0p90	0.0	0.1	0.9	0.8125	0.875	0.75	0.75	0.125	4.0	0.75	1.0	0.5	0.73143808	0.625	0.46287616	0.53712384	0.5	0.5
p3_per_outer_inner_selected	3	w0p00_0p25_0p75	0.0	0.25	0.75	0.625	0.75	0.5	0.5	0.25	4.0	0.5625	0.875	0.25	0.58873248	0.5	0.25078592	0.67589312	0.25	0.625
p3_per_outer_inner_selected	4	w0p35_0p30_0p35	0.35	0.3	0.35	0.8125	0.875	0.75	0.75	0.125	4.0	0.8125	0.875	0.75	0.80122096	0.625	0.71876192	0.16491808	0.75	0.125
