strategy	outer_fold	components	weights	threshold	threshold_objective	fusion_weight_source	subject_ba	hc_recall	dep_recall	crop_combo_expected_ba	crop_combo_worst_ba	crop_combo_expected_min_recall	crop_combo_expected_recall_gap	sort_ba	sort_hc_recall	sort_dep_recall	sort_min_recall	sort_recall_gap	sort_dep_count	out_dir
p01_tsc_f8_equal_fixed05	0	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.5	fixed_0_5	fixed	0.75	0.75	0.75	0.81856	0.6875	0.7496	0.13792	0.8125	0.875	0.75	0.75	0.125	4	outputs/dep_hc_pr70B_score_fusion_20260524_p3_backbone/p01_tsc_f8_equal_fixed05_outer0
p01_tsc_f8_equal_fixed05	1	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.5	fixed_0_5	fixed	0.9375	0.875	1.0	0.948044	0.9375	0.896088	0.103912	1.0	1.0	1.0	1.0	0.0	4	outputs/dep_hc_pr70B_score_fusion_20260524_p3_backbone/p01_tsc_f8_equal_fixed05_outer1
p01_tsc_f8_equal_fixed05	2	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.5	fixed_0_5	fixed	0.875	1.0	0.75	0.895328	0.625	0.8234976	0.1436608	1.0	1.0	1.0	1.0	0.0	4	outputs/dep_hc_pr70B_score_fusion_20260524_p3_backbone/p01_tsc_f8_equal_fixed05_outer2
p01_tsc_f8_equal_fixed05	3	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.5	fixed_0_5	fixed	0.5625	0.875	0.25	0.53504	0.4375	0.27168	0.52672	0.625	0.75	0.5	0.5	0.25	4	outputs/dep_hc_pr70B_score_fusion_20260524_p3_backbone/p01_tsc_f8_equal_fixed05_outer3
p01_tsc_f8_equal_fixed05	4	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.5	fixed_0_5	fixed	0.6875	0.875	0.5	0.7132664	0.6875	0.5144	0.3977328	0.8125	0.875	0.75	0.75	0.125	4	outputs/dep_hc_pr70B_score_fusion_20260524_p3_backbone/p01_tsc_f8_equal_fixed05_outer4
p01_tsc_f8_equal_inner_balacc	0	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.35	balanced_accuracy	fixed	0.8125	0.625	1.0	0.80266	0.625	0.60788	0.38956	0.625	0.75	0.5	0.5	0.25	4	outputs/dep_hc_pr70B_score_fusion_20260524_p3_backbone/p01_tsc_f8_equal_inner_balacc_outer0
p01_tsc_f8_equal_inner_balacc	1	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.33174674362150003	balanced_accuracy	fixed	0.625	0.25	1.0	0.6415904	0.5625	0.2831808	0.7168192	1.0	1.0	1.0	1.0	0.0	4	outputs/dep_hc_pr70B_score_fusion_20260524_p3_backbone/p01_tsc_f8_equal_inner_balacc_outer1
p01_tsc_f8_equal_inner_balacc	2	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.4043615495005	balanced_accuracy	fixed	0.875	0.75	1.0	0.8829048	0.625	0.78343808	0.19893344	1.0	1.0	1.0	1.0	0.0	4	outputs/dep_hc_pr70B_score_fusion_20260524_p3_backbone/p01_tsc_f8_equal_inner_balacc_outer2
p01_tsc_f8_equal_inner_balacc	3	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.4430873527885	balanced_accuracy	fixed	0.5	0.75	0.25	0.5462	0.375	0.35008	0.39224	0.625	0.75	0.5	0.5	0.25	4	outputs/dep_hc_pr70B_score_fusion_20260524_p3_backbone/p01_tsc_f8_equal_inner_balacc_outer3
p01_tsc_f8_equal_inner_balacc	4	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.43582749509749996	balanced_accuracy	fixed	0.8125	0.875	0.75	0.75706	0.6875	0.63824	0.23764	0.8125	0.875	0.75	0.75	0.125	4	outputs/dep_hc_pr70B_score_fusion_20260524_p3_backbone/p01_tsc_f8_equal_inner_balacc_outer4
