component	outer_fold	model_name	threshold_objective	aggregation	subject_ba	hc_recall	dep_recall	crop_combo_expected_ba	crop_combo_worst_ba	crop_combo_expected_min_recall	crop_combo_expected_recall_gap	sort_ba	sort_min_recall	sort_hc_recall	sort_dep_recall	run_dir
p01	0	deformer_lite	balanced_accuracy	vote_frac	0.8125	0.625	1.0	0.8043	0.625	0.64532	0.31796	0.8125	0.75	0.875	0.75	outputs/dep_hc_pr70B_asha_p01_vote_platt_window_confirm_outer_o0_final_e22
p01	1	deformer_lite	balanced_accuracy	vote_frac	0.8125	0.625	1.0	0.819472	0.6875	0.638944	0.361056	1.0	1.0	1.0	1.0	outputs/dep_hc_pr70B_asha_p01_vote_platt_window_confirm_outer_o1_final_e22
p01	2	deformer_lite	balanced_accuracy	vote_frac	0.875	0.75	1.0	0.8924784	0.6875	0.79688608	0.19118464	1.0	1.0	1.0	1.0	outputs/dep_hc_pr70B_asha_p01_vote_platt_window_confirm_outer_o2_final_e22
p01	3	deformer_lite	balanced_accuracy	vote_frac	0.625	0.75	0.5	0.576896	0.375	0.4316	0.290592	0.625	0.5	0.75	0.5	outputs/dep_hc_pr70B_asha_p01_vote_platt_window_confirm_outer_o3_final_e22
p01	4	deformer_lite	balanced_accuracy	vote_frac	0.75	1.0	0.5	0.69048	0.5625	0.38208	0.6168	0.8125	0.75	0.875	0.75	outputs/dep_hc_pr70B_asha_p01_vote_platt_window_confirm_outer_o4_final_e22
def_conv32	0	deformer_lite	balanced_accuracy	vote_frac	0.875	0.75	1.0	0.83129248	0.625	0.727168	0.20824896	0.8125	0.75	0.875	0.75	outputs/dep_hc_pr70B_asha_conv32_emb48_vote_confirm_outer_o0_final_e22
def_conv32	1	deformer_lite	balanced_accuracy	vote_frac	0.75	0.5	1.0	0.75352	0.6875	0.50704	0.49296	1.0	1.0	1.0	1.0	outputs/dep_hc_pr70B_asha_conv32_emb48_vote_confirm_outer_o1_final_e22
def_conv32	2	deformer_lite	balanced_accuracy	vote_frac	0.8125	0.875	0.75	0.810492	0.6875	0.75575584	0.10947232	0.8125	0.75	0.875	0.75	outputs/dep_hc_pr70B_asha_conv32_emb48_vote_confirm_outer_o2_final_e22
def_conv32	3	deformer_lite	balanced_accuracy	vote_frac	0.625	0.75	0.5	0.587604	0.4375	0.43792	0.299368	0.625	0.5	0.75	0.5	outputs/dep_hc_pr70B_asha_conv32_emb48_vote_confirm_outer_o3_final_e22
def_conv32	4	deformer_lite	balanced_accuracy	vote_frac	0.75	1.0	0.5	0.7661208	0.6875	0.5322816	0.4676784	0.8125	0.75	0.875	0.75	outputs/dep_hc_pr70B_asha_conv32_emb48_vote_confirm_outer_o4_final_e22
def_conv24	0	deformer_lite	balanced_accuracy	vote_frac	0.8125	0.625	1.0	0.83404	0.625	0.67832	0.31144	0.625	0.5	0.75	0.5	outputs/dep_hc_pr70B_asha_conv24_emb48_lr7e4_confirm_outer_o0_final_e22
def_conv24	1	deformer_lite	balanced_accuracy	vote_frac	0.8125	0.625	1.0	0.861016	0.75	0.722032	0.277968	1.0	1.0	1.0	1.0	outputs/dep_hc_pr70B_asha_conv24_emb48_lr7e4_confirm_outer_o1_final_e22
def_conv24	2	deformer_lite	balanced_accuracy	vote_frac	0.8125	0.875	0.75	0.7814224	0.625	0.70132288	0.16019904	0.8125	0.75	0.875	0.75	outputs/dep_hc_pr70B_asha_conv24_emb48_lr7e4_confirm_outer_o2_final_e22
def_conv24	3	deformer_lite	balanced_accuracy	vote_frac	0.5	0.75	0.25	0.5334552	0.375	0.33224	0.4024304	0.625	0.5	0.75	0.5	outputs/dep_hc_pr70B_asha_conv24_emb48_lr7e4_confirm_outer_o3_final_e22
def_conv24	4	deformer_lite	balanced_accuracy	vote_frac	0.5625	0.875	0.25	0.6017096	0.5625	0.25512	0.6931792	0.8125	0.75	0.875	0.75	outputs/dep_hc_pr70B_asha_conv24_emb48_lr7e4_confirm_outer_o4_final_e22
