strategy	n_outer	components	weights_seen	crop_combo_expected_ba_mean	crop_combo_expected_ba_min	crop_combo_worst_ba_mean	crop_combo_worst_ba_min	crop_combo_expected_min_recall_mean	crop_combo_expected_recall_gap_mean	subject_ba_mean	hc_recall_mean	dep_recall_mean	sort_ba_mean	sort_ba_min	sort_min_recall_mean
tsc_f8_toptsc8_equal_fixed05	5	tsc_f8+top_tsc8	tsc_f8=0.5;top_tsc8=0.5	0.8141496	0.665192	0.6375	0.4375	0.7074148480000001	0.213469504	0.8125	0.875	0.75	0.8125	0.625	0.75
p01_tsc_f8_toptsc8_equal_balacc	5	p01+tsc_f8+top_tsc8	p01=0.3333;tsc_f8=0.3333;top_tsc8=0.3333	0.8036139199999999	0.6536736	0.65	0.375	0.677957184	0.251313472	0.8	0.85	0.75	0.775	0.625	0.7
tsc_f8_toptsc8_equal_balacc	5	tsc_f8+top_tsc8	tsc_f8=0.5;top_tsc8=0.5	0.798916	0.642572	0.6125	0.375	0.6777791360000001	0.24227372800000002	0.825	0.85	0.8	0.775	0.625	0.7
p01_tsc_f8_tsc4_equal_balacc	5	p01+tsc_f8+tsc_f4	p01=0.3333;tsc_f8=0.3333;tsc_f4=0.3333	0.7912758400000001	0.6070736	0.625	0.375	0.695313088	0.191925504	0.8125	0.825	0.8	0.775	0.625	0.7
p01_tsc_f8_toptsc8_equal_fixed05	5	p01+tsc_f8+top_tsc8	p01=0.3333;tsc_f8=0.3333;top_tsc8=0.3333	0.7907616000000001	0.62528	0.675	0.4375	0.6530192	0.2754848	0.7625	0.875	0.65	0.775	0.625	0.7
p01_tsc_f8_equal_fixed05	5	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.78204768	0.53504	0.675	0.4375	0.65105312	0.26198911999999996	0.7625	0.875	0.65	0.85	0.625	0.8
p01_tsc_f8_tsc4_equal_fixed05	5	p01+tsc_f8+tsc_f4	p01=0.3333;tsc_f8=0.3333;tsc_f4=0.3333	0.7784336	0.57606	0.65	0.375	0.6426016	0.271664	0.7625	0.875	0.65	0.775	0.625	0.7
p01_tsc_f8_conv32_equal_fixed05	5	p01+tsc_f8+def_conv32	p01=0.3333;tsc_f8=0.3333;def_conv32=0.3333	0.77740592	0.56616	0.675	0.5	0.6601391360000001	0.23453356799999997	0.75	0.85	0.65	0.8125	0.625	0.75
p01_tsc_f8_tri_equal_balacc	5	p01+tsc_f8+tri_context	p01=0.3333;tsc_f8=0.3333;tri_context=0.3333	0.7671760000000001	0.597436	0.6	0.4375	0.6097659519999999	0.31482009599999994	0.7875	0.775	0.8	0.8125	0.625	0.75
p01_tsc_f8_select2_balacc	5	p01+tsc_f8	p01=0.2;tsc_f8=0.8|p01=0.5;tsc_f8=0.5|p01=0.65;tsc_f8=0.35|p01=0.7;tsc_f8=0.3|p01=1;tsc_f8=0	0.760784064	0.5127576	0.625	0.3125	0.636824512	0.247919104	0.7625	0.675	0.85	0.8125	0.625	0.75
p01_tsc_f8_select2_minrec	5	p01+tsc_f8	p01=0.45;tsc_f8=0.55|p01=0.5;tsc_f8=0.5|p01=0.65;tsc_f8=0.35|p01=0.7;tsc_f8=0.3	0.755004544	0.578788	0.5875	0.375	0.5898337280000001	0.330341632	0.775	0.7	0.85	0.8125	0.625	0.75
p01_tsc_f8_conv24_equal_balacc	5	p01+tsc_f8+def_conv24	p01=0.3333;tsc_f8=0.3333;def_conv24=0.3333	0.7544264	0.574128	0.575	0.375	0.60307296	0.30270688	0.8	0.8	0.8	0.775	0.625	0.7
p01_tsc_f8_heavy_tsc_balacc	5	p01+tsc_f8+def_conv32	p01=0.25;tsc_f8=0.55;def_conv32=0.2	0.739562528	0.585724	0.6	0.3125	0.60716192	0.264801216	0.7625	0.725	0.8	0.85	0.625	0.8
p01_tsc_f8_equal_inner_balacc	5	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.72608304	0.5462	0.575	0.375	0.532563776	0.38703852800000005	0.725	0.65	0.8	0.8125	0.625	0.75
p01_tsc_f8_conv32_equal_balacc	5	p01+tsc_f8+def_conv32	p01=0.3333;tsc_f8=0.3333;def_conv32=0.3333	0.723501568	0.56054	0.525	0.375	0.5255687680000001	0.39586560000000004	0.75	0.65	0.85	0.8125	0.625	0.75
p01_tsc_f8_heavy_p01_balacc	5	p01+tsc_f8+def_conv32	p01=0.55;tsc_f8=0.3;def_conv32=0.15	0.7140010880000001	0.56246	0.5625	0.4375	0.49806624	0.43186969599999997	0.7125	0.625	0.8	0.8125	0.625	0.75
