strategy	outer_fold	components	weights	threshold	threshold_objective	fusion_weight_source	subject_ba	hc_recall	dep_recall	dep_over_hc	recall_floor_pass	crop_combo_expected_ba	crop_combo_worst_ba	crop_combo_expected_hc_recall	crop_combo_expected_dep_recall	crop_combo_dep_over_hc	crop_combo_expected_min_recall	crop_combo_expected_recall_gap	sort_ba	sort_hc_recall	sort_dep_recall	sort_min_recall	sort_recall_gap	sort_dep_count	out_dir
p01_tsc_f8_select2_depfloor	0	p01+tsc_f8	p01=0.65;tsc_f8=0.35	0.32175839842889997	dep_recall_floor_0p8_hc	validation_predictions	0.8125	0.625	1.0	1.6	True	0.795152	0.625	0.59184	0.998464	1.6870505542038388	0.59184	0.406624	0.625	0.75	0.5	0.5	0.25	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/p01_tsc_f8_select2_depfloor_outer0
p01_tsc_f8_select2_depfloor	1	p01+tsc_f8	p01=0.45;tsc_f8=0.55	0.33779798678735	dep_recall_floor_0p8_hc	validation_predictions	0.625	0.25	1.0	4.0	True	0.64599552	0.5625	0.29199104	1.0	3.424762622853085	0.29199104	0.70800896	1.0	1.0	1.0	1.0	0.0	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/p01_tsc_f8_select2_depfloor_outer1
p01_tsc_f8_select2_depfloor	2	p01+tsc_f8	p01=0.7;tsc_f8=0.3	0.35	dep_recall_floor_0p8_hc	validation_predictions	0.8125	0.625	1.0	1.6	True	0.79810672	0.5625	0.59652064	0.9996928	1.6758729421332343	0.59652064	0.40317216	1.0	1.0	1.0	1.0	0.0	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/p01_tsc_f8_select2_depfloor_outer2
p01_tsc_f8_select2_depfloor	3	p01+tsc_f8	p01=0.2;tsc_f8=0.8	0.4082813888462	dep_recall_floor_0p8_hc	validation_predictions	0.4375	0.375	0.5	1.3333333333333333	True	0.5127576	0.3125	0.5273552	0.49816	0.9446384524130984	0.47583392	0.07384736	0.625	0.75	0.5	0.5	0.25	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/p01_tsc_f8_select2_depfloor_outer3
p01_tsc_f8_select2_depfloor	4	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.43582749509749996	dep_recall_floor_0p8_hc	validation_predictions	0.8125	0.875	0.75	0.8571428571428571	True	0.75706	0.6875	0.87548	0.63864	0.7294741170557865	0.63824	0.23764	0.8125	0.875	0.75	0.75	0.125	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/p01_tsc_f8_select2_depfloor_outer4
p01_tsc_f8_equal_depfloor	0	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.35	dep_recall_floor_0p8_hc	fixed	0.8125	0.625	1.0	1.6	True	0.80266	0.625	0.60788	0.99744	1.6408501677962757	0.60788	0.38956	0.625	0.75	0.5	0.5	0.25	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/p01_tsc_f8_equal_depfloor_outer0
p01_tsc_f8_equal_depfloor	1	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.33174674362150003	dep_recall_floor_0p8_hc	fixed	0.625	0.25	1.0	4.0	True	0.6415904	0.5625	0.2831808	1.0	3.531312857368861	0.2831808	0.7168192	1.0	1.0	1.0	1.0	0.0	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/p01_tsc_f8_equal_depfloor_outer1
p01_tsc_f8_equal_depfloor	2	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.4043615495005	dep_recall_floor_0p8_hc	fixed	0.875	0.75	1.0	1.3333333333333333	True	0.8829048	0.625	0.7868656	0.978944	1.2441057278396717	0.78343808	0.19893344	1.0	1.0	1.0	1.0	0.0	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/p01_tsc_f8_equal_depfloor_outer2
p01_tsc_f8_equal_depfloor	3	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.4430873527885	dep_recall_floor_0p8_hc	fixed	0.5	0.75	0.25	0.3333333333333333	False	0.5462	0.375	0.74232	0.35008	0.47160254337751917	0.35008	0.39224	0.625	0.75	0.5	0.5	0.25	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/p01_tsc_f8_equal_depfloor_outer3
p01_tsc_f8_equal_depfloor	4	p01+tsc_f8	p01=0.5;tsc_f8=0.5	0.43582749509749996	dep_recall_floor_0p8_hc	fixed	0.8125	0.875	0.75	0.8571428571428571	True	0.75706	0.6875	0.87548	0.63864	0.7294741170557865	0.63824	0.23764	0.8125	0.875	0.75	0.75	0.125	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/p01_tsc_f8_equal_depfloor_outer4
tsc_pair_def32_w45_45_10_fixed05	0	tsc_f8+top_tsc8+def_conv32	tsc_f8=0.45;top_tsc8=0.45;def_conv32=0.1	0.5	fixed_0_5	fixed	0.75	0.75	0.75	1.0	True	0.81768	0.6875	0.74936	0.886	1.182342265399808	0.749304	0.136752	0.8125	0.875	0.75	0.75	0.125	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/tsc_pair_def32_w45_45_10_fixed05_outer0
tsc_pair_def32_w45_45_10_fixed05	1	tsc_f8+top_tsc8+def_conv32	tsc_f8=0.45;top_tsc8=0.45;def_conv32=0.1	0.5	fixed_0_5	fixed	0.9375	0.875	1.0	1.1428571428571428	True	0.88692	0.8125	0.77384	1.0	1.2922567972707537	0.77384	0.22616	1.0	1.0	1.0	1.0	0.0	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/tsc_pair_def32_w45_45_10_fixed05_outer1
tsc_pair_def32_w45_45_10_fixed05	2	tsc_f8+top_tsc8+def_conv32	tsc_f8=0.45;top_tsc8=0.45;def_conv32=0.1	0.5	fixed_0_5	fixed	0.875	1.0	0.75	0.75	False	0.868648	0.625	0.99896	0.738336	0.7391046688556099	0.738336	0.260624	0.8125	0.875	0.75	0.75	0.125	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/tsc_pair_def32_w45_45_10_fixed05_outer2
tsc_pair_def32_w45_45_10_fixed05	3	tsc_f8+top_tsc8+def_conv32	tsc_f8=0.45;top_tsc8=0.45;def_conv32=0.1	0.5	fixed_0_5	fixed	0.6875	0.875	0.5	0.5714285714285714	False	0.665644	0.375	0.84188	0.489408	0.5813275051076163	0.489408	0.352472	0.625	0.75	0.5	0.5	0.25	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/tsc_pair_def32_w45_45_10_fixed05_outer3
tsc_pair_def32_w45_45_10_fixed05	4	tsc_f8+top_tsc8+def_conv32	tsc_f8=0.45;top_tsc8=0.45;def_conv32=0.1	0.5	fixed_0_5	fixed	0.8125	0.875	0.75	0.8571428571428571	True	0.8057	0.625	0.86524	0.74616	0.8623734455180067	0.74364768	0.12410464	0.8125	0.875	0.75	0.75	0.125	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/tsc_pair_def32_w45_45_10_fixed05_outer4
tsc_pair_def32_w40_40_20_fixed05	0	tsc_f8+top_tsc8+def_conv32	tsc_f8=0.4;top_tsc8=0.4;def_conv32=0.2	0.5	fixed_0_5	fixed	0.75	0.75	0.75	1.0	True	0.80936	0.75	0.75064	0.86808	1.1564531599701589	0.7503296	0.1180608	0.8125	0.875	0.75	0.75	0.125	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/tsc_pair_def32_w40_40_20_fixed05_outer0
tsc_pair_def32_w40_40_20_fixed05	1	tsc_f8+top_tsc8+def_conv32	tsc_f8=0.4;top_tsc8=0.4;def_conv32=0.2	0.5	fixed_0_5	fixed	0.875	0.75	1.0	1.3333333333333333	True	0.85338	0.75	0.70676	1.0	1.4149074650517854	0.70676	0.29324	1.0	1.0	1.0	1.0	0.0	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/tsc_pair_def32_w40_40_20_fixed05_outer1
tsc_pair_def32_w40_40_20_fixed05	2	tsc_f8+top_tsc8+def_conv32	tsc_f8=0.4;top_tsc8=0.4;def_conv32=0.2	0.5	fixed_0_5	fixed	0.875	1.0	0.75	0.75	False	0.87248	0.6875	0.99896	0.746	0.7467766477136222	0.746	0.25296	0.8125	0.875	0.75	0.75	0.125	4	outputs/dep_hc_pr70B_subagent_followup_fusion_20260524/tsc_pair_def32_w40_40_20_fixed05_outer2
