route_id,eval_id,source_family,source_path,source_section,protocol,eval_scope,run_or_split,seeds,jobs,metric_name,mean,std,min,max,score_detail,audit_decision,route_status,model,notes
car_fbstcnet_as_query_noea_eps3e4_m_conn_srfnet_whitening_eps3e4_conformer_context_fusion,,route_summary,reports/route_summaries/car_fbstcnet_as_query_noea_eps3e4_m_conn_srfnet_whitening_eps3e4_conformer_context_fusion_summary.md,,score_fusion query_context,candidate,component protocol splits,component manifests,,exact_single_crop_expected_BA,0.7366,,,,route summary primary metric,PASS_P1_P2_FIXED_CROPS_AND_P3,IDEA,score_fusion,KEEP_AS_PR41_SIBLING_NOT_NEW_CHAMPION
car_fbstcnet_as_query_srfnet_reference_whitening_eps3e4_conformer_context_fusion,,route_summary,reports/route_summaries/car_fbstcnet_as_query_srfnet_reference_whitening_eps3e4_conformer_context_fusion_summary.md,,score_fusion query_context,candidate,component protocol splits,component manifests,,exact_single_crop_expected_BA,0.7364,,,,route summary primary metric,PASS_P1_P2_FIXED_CROPS_AND_P3,IDEA,score_fusion,KEEP_AS_PR41_SIBLING_NOT_NEW_CHAMPION
car_fbstcnet_as_query_srfnet_whitening_eps3e4_conformer_context_fusion,,route_summary,reports/route_summaries/car_fbstcnet_as_query_srfnet_whitening_eps3e4_conformer_context_fusion_summary.md,,score_fusion query_context,candidate,P1/P2 protocol runner component splits,protocol default unless specified by component manifests,,exact_single_crop_expected_BA,0.7307,,,,route summary primary metric,PASS_P1_P2_FIXED_CROPS_AND_P3,IDEA,score_fusion,PROMOTE_TO_FULL_EXPERIMENT_TRACKING
car_fbstcnet_boundary_repair_noea_m_conn_srfnet_whitening_conformer_context_fusion,,route_summary,reports/route_summaries/car_fbstcnet_boundary_repair_noea_m_conn_srfnet_whitening_conformer_context_fusion_summary.md,,score_fusion margin_adaptive_query_context,candidate,component protocol splits,component manifests,,exact_single_crop_expected_BA,0.7306,,,,route summary primary metric,PASS_P1_AND_P2_FIXED_CROPS,IDEA,score_fusion,KEEP_FOR_P3_IF_COMPONENT_PROVENANCE_REMAINS_TRUSTED
car_fbstcnet_margin_adaptive_srfnet_whitening_eps3e4_conformer_context_fusion,,route_summary,reports/route_summaries/car_fbstcnet_margin_adaptive_srfnet_whitening_eps3e4_conformer_context_fusion_summary.md,,score_fusion margin_adaptive_query_context,candidate,P1/P2 protocol runner component splits,protocol default unless specified by component manifests,,exact_single_crop_expected_BA,0.7267,,,,route summary primary metric,PASS_P1_P2_FIXED_CROPS_AND_P3,IDEA,score_fusion,HOLD_FOR_DIAGNOSTIC_AND_WORST_CROP_SIGNAL
car_fbstcnet_sparse_noea_m_conn_srfnet_whitening_conformer_context_fusion,,route_summary,reports/route_summaries/car_fbstcnet_sparse_noea_m_conn_srfnet_whitening_conformer_context_fusion_summary.md,,score_fusion sparse query_context,candidate,component protocol splits,component manifests,,exact_single_crop_expected_BA,0.7310,,,,route summary primary metric,PASS_P1_AND_P2_FIXED_CROPS,IDEA,score_fusion,KEEP_FOR_P3_IF_COMPONENT_PROVENANCE_REMAINS_TRUSTED
conformer_srfnet_score_average,,route_summary,reports/route_summaries/conformer_srfnet_score_average_summary.md,,P1,candidate,p1_seed42_fold0,42,,exact_single_crop_expected_BA,0.6274,,,,route summary primary metric,PASS,CANDIDATE,score_fusion,PASS
conformer_srfnet_whitening_eps1e3_average,,route_summary,reports/route_summaries/conformer_srfnet_whitening_eps1e3_average_summary.md,,P1,candidate,p1_seed42_fold0,42,,exact_single_crop_expected_BA,0.6440,,,,route summary primary metric,PASS,CANDIDATE,score_fusion,PASS
conformer_srfnet_whitening_eps3e4_average,,route_summary,reports/route_summaries/conformer_srfnet_whitening_eps3e4_average_summary.md,,P1,candidate,p1_seed42_fold0,42,,exact_single_crop_expected_BA,0.6139,,,,route summary primary metric,PASS,CANDIDATE,score_fusion,PASS
dgcnn_adaptation_fbstcnet_srfnet_conformer_score_average,,route_summary,reports/route_summaries/dgcnn_adaptation_fbstcnet_srfnet_conformer_score_average_summary.md,,P1,candidate,p1_seed42_fold0__score_fusion_sources,42,,exact_single_crop_expected_BA,0.6985,,,,route summary primary metric,PASS,IDEA,score_fusion,PASS for seed42-aligned score-fusion evidence; keep route status unchanged until a broader audit-backed promotion decision exists.
