run_id,protocol,split_id,n_subjects,n_errors,n_high_conf_errors,n_ambiguous,max_wrong_confidence,mean_wrong_confidence,output_root
dep_hc_fixed_weight_20260523_2040_p2_trad_tf_h123_w050,p2,dep_hc_router_p2_holdout123_train42,12,4,2,7,0.8385,0.7118,D:\hust-bci-er\outputs\dep_hc_fixed_weight_20260523_2040_p2_trad_tf_h123_w050
dep_hc_fixed_weight_20260523_2040_p2_trad_tf_h456_w050,p2,dep_hc_router_p2_holdout456_train42,12,2,1,1,0.7880,0.7431,D:\hust-bci-er\outputs\dep_hc_fixed_weight_20260523_2040_p2_trad_tf_h456_w050
dep_hc_fixed_weight_20260523_2040_p2_trad_tf_h999_w050,p2,dep_hc_router_p2_holdout999_train42,12,4,0,8,0.6207,0.5861,D:\hust-bci-er\outputs\dep_hc_fixed_weight_20260523_2040_p2_trad_tf_h999_w050
dep_hc_subject_type_v1_20260523_2120_p1_fold0_fixed_w050,p1,dep_hc_router_p1_seed42_fold0,12,3,1,4,0.8392,0.6806,D:\hust-bci-er\outputs\dep_hc_subject_type_v1_20260523_2120_p1_fold0_fixed_w050
dep_hc_subject_type_v1_20260523_2120_p1_fold1_fixed_w050,p1,dep_hc_router_p1_seed42_fold1,12,2,1,4,0.8163,0.6822,D:\hust-bci-er\outputs\dep_hc_subject_type_v1_20260523_2120_p1_fold1_fixed_w050
dep_hc_subject_type_v1_20260523_2120_p1_fold2_fixed_w050,p1,dep_hc_router_p1_seed42_fold2,12,1,1,3,0.7861,0.7861,D:\hust-bci-er\outputs\dep_hc_subject_type_v1_20260523_2120_p1_fold2_fixed_w050
dep_hc_subject_type_v1_20260523_2120_p1_fold3_fixed_w050,p1,dep_hc_router_p1_seed42_fold3,12,4,2,3,0.9205,0.7746,D:\hust-bci-er\outputs\dep_hc_subject_type_v1_20260523_2120_p1_fold3_fixed_w050
dep_hc_subject_type_v1_20260523_2120_p1_fold4_fixed_w050,p1,dep_hc_router_p1_seed42_fold4,12,3,0,3,0.7077,0.6201,D:\hust-bci-er\outputs\dep_hc_subject_type_v1_20260523_2120_p1_fold4_fixed_w050
dep_hc_subject_type_v1_20260523_2120_p2_h1024_fixed_w050,p2,dep_hc_router_p2_holdout1024_train42,12,2,0,3,0.6669,0.6190,D:\hust-bci-er\outputs\dep_hc_subject_type_v1_20260523_2120_p2_h1024_fixed_w050
dep_hc_subject_type_v1_20260523_2120_p2_h789_fixed_w050,p2,dep_hc_router_p2_holdout789_train42,12,2,0,9,0.6125,0.5897,D:\hust-bci-er\outputs\dep_hc_subject_type_v1_20260523_2120_p2_h789_fixed_w050
