run_id,protocol,split_id,feature_or_fusion,classifier,threshold_objective,threshold_source,fusion_weight_source,fusion_weight_by_feature,subject_aggregation,subject_ba,hc_subject_recall,dep_subject_recall,dep_vs_hc_ratio,n_eval_subjects,output_root
dep_hc_subject_type_v2_cuda_p1_fold3_deformer_attn_e8_ba,p1,dep_hc_router_p1_seed42_fold3,neural:deformer_lite,neural,balanced_accuracy,validation_subjects,,,mean,0.6250,0.7500,0.5000,0.6667,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p1_fold3_deformer_attn_e8_ba
dep_hc_subject_type_v2_cuda_p2_h123_conformer_e8_ba,p2,dep_hc_router_p2_holdout123_train42,neural:conformer_lite,neural,balanced_accuracy,validation_subjects,,,mean,0.5000,1.0000,0.0000,0.0000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h123_conformer_e8_ba
dep_hc_subject_type_v2_cuda_p2_h123_deformer_attn_e16_ba,p2,dep_hc_router_p2_holdout123_train42,neural:deformer_lite,neural,balanced_accuracy,validation_subjects,,,mean,0.5625,0.8750,0.2500,0.2857,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h123_deformer_attn_e16_ba
dep_hc_subject_type_v2_cuda_p2_h123_deformer_attn_e8_ba,p2,dep_hc_router_p2_holdout123_train42,neural:deformer_lite,neural,balanced_accuracy,validation_subjects,,,mean,0.6250,1.0000,0.2500,0.2500,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h123_deformer_attn_e8_ba
dep_hc_subject_type_v2_cuda_p2_h123_deformer_attn_e8_fixed,p2,dep_hc_router_p2_holdout123_train42,neural:deformer_lite,neural,fixed_0_5,fixed_0.5,,,mean,0.5625,0.8750,0.2500,0.2857,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h123_deformer_attn_e8_fixed
dep_hc_subject_type_v2_cuda_p2_h123_dgcnn_e8_ba,p2,dep_hc_router_p2_holdout123_train42,neural:dgcnn,neural,balanced_accuracy,validation_subjects,,,mean,0.5000,1.0000,0.0000,0.0000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h123_dgcnn_e8_ba
dep_hc_subject_type_v2_cuda_p2_h123_dual_graph_conformer_e8_ba,p2,dep_hc_router_p2_holdout123_train42,neural:dual_graph_conformer,neural,balanced_accuracy,validation_subjects,,,mean,0.6250,1.0000,0.2500,0.2500,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h123_dual_graph_conformer_e8_ba
dep_hc_subject_type_v2_cuda_p2_h123_fbstcnet_e8_ba,p2,dep_hc_router_p2_holdout123_train42,neural:fbstcnet,neural,balanced_accuracy,validation_subjects,,,mean,0.5000,0.7500,0.2500,0.3333,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h123_fbstcnet_e8_ba
dep_hc_subject_type_v2_cuda_p2_h123_fbstcnet_route_e8_ba,p2,dep_hc_router_p2_holdout123_train42,neural:fbstcnet,neural,balanced_accuracy,validation_subjects,,,mean,0.3750,0.7500,0.0000,0.0000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h123_fbstcnet_route_e8_ba
dep_hc_subject_type_v2_cuda_p2_h666_deformer_attn_e16_ba,p2,dep_hc_router_p2_holdout666_train42,neural:deformer_lite,neural,balanced_accuracy,validation_subjects,,,mean,0.5625,0.8750,0.2500,0.2857,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h666_deformer_attn_e16_ba
dep_hc_subject_type_v2_cuda_p2_h666_deformer_attn_e8_ba,p2,dep_hc_router_p2_holdout666_train42,neural:deformer_lite,neural,balanced_accuracy,validation_subjects,,,mean,0.6250,0.5000,0.7500,1.5000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h666_deformer_attn_e8_ba
dep_hc_subject_type_v2_cuda_p2_h666_deformer_attn_e8_depfloor,p2,dep_hc_router_p2_holdout666_train42,neural:deformer_lite,neural,dep_recall_floor_0p8_hc,validation_subjects,,,mean,0.4375,0.6250,0.2500,0.4000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h666_deformer_attn_e8_depfloor
dep_hc_subject_type_v2_cuda_p2_h666_deformer_attn_e8_fixed,p2,dep_hc_router_p2_holdout666_train42,neural:deformer_lite,neural,fixed_0_5,fixed_0.5,,,mean,0.5000,1.0000,0.0000,0.0000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h666_deformer_attn_e8_fixed
dep_hc_subject_type_v2_cuda_p2_h666_dgcnn_e8_ba,p2,dep_hc_router_p2_holdout666_train42,neural:dgcnn,neural,balanced_accuracy,validation_subjects,,,mean,0.2500,0.2500,0.2500,1.0000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h666_dgcnn_e8_ba
dep_hc_subject_type_v2_cuda_p2_h666_dual_graph_conformer_e8_ba,p2,dep_hc_router_p2_holdout666_train42,neural:dual_graph_conformer,neural,balanced_accuracy,validation_subjects,,,mean,0.4375,0.8750,0.0000,0.0000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h666_dual_graph_conformer_e8_ba
dep_hc_subject_type_v2_cuda_p2_h666_fbstcnet_route_e8_ba,p2,dep_hc_router_p2_holdout666_train42,neural:fbstcnet,neural,balanced_accuracy,validation_subjects,,,mean,0.6875,0.6250,0.7500,1.2000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h666_fbstcnet_route_e8_ba
dep_hc_subject_type_v2_cuda_p2_h999_deformer_attn_e8_ba,p2,dep_hc_router_p2_holdout999_train42,neural:deformer_lite,neural,balanced_accuracy,validation_subjects,,,mean,0.7500,0.7500,0.7500,1.0000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h999_deformer_attn_e8_ba
dep_hc_subject_type_v2_cuda_p2_h999_fbstcnet_route_e8_ba,p2,dep_hc_router_p2_holdout999_train42,neural:fbstcnet,neural,balanced_accuracy,validation_subjects,,,mean,0.5000,0.7500,0.2500,0.3333,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_cuda_p2_h999_fbstcnet_route_e8_ba
dep_hc_subject_type_v2_screen_p2_h666_conformer_e8_ba,p2,dep_hc_router_p2_holdout666_train42,neural:conformer_lite,neural,balanced_accuracy,validation_subjects,,,mean,0.5625,0.6250,0.5000,0.8000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_screen_p2_h666_conformer_e8_ba
dep_hc_subject_type_v2_screen_p2_h666_fbstcnet_e8_ba,p2,dep_hc_router_p2_holdout666_train42,neural:fbstcnet,neural,balanced_accuracy,validation_subjects,,,mean,0.5625,0.6250,0.5000,0.8000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_screen_p2_h666_fbstcnet_e8_ba
dep_hc_subject_type_v2_smoke_p2_h666_conformer_e2,p2,dep_hc_router_p2_holdout666_train42,neural:conformer_lite,neural,fixed_0_5,fixed_0.5,,,mean,0.5625,0.8750,0.2500,0.2857,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_smoke_p2_h666_conformer_e2
dep_hc_subject_type_v2_smoke_p2_h666_fbstcnet_e2,p2,dep_hc_router_p2_holdout666_train42,neural:fbstcnet,neural,fixed_0_5,fixed_0.5,,,mean,0.5000,0.7500,0.2500,0.3333,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_smoke_p2_h666_fbstcnet_e2
dep_hc_subject_type_v2_smoke_p2_h666_srfnet_e2,p2,dep_hc_router_p2_holdout666_train42,neural:srfnet,neural,fixed_0_5,fixed_0.5,,,mean,0.5000,1.0000,0.0000,0.0000,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_smoke_p2_h666_srfnet_e2
dep_hc_subject_type_v2_smoke_p2_h666_tsception_e2,p2,dep_hc_router_p2_holdout666_train42,neural:tsception,neural,fixed_0_5,fixed_0.5,,,mean,0.4375,0.3750,0.5000,1.3333,12,D:\hust-bci-er\outputs\dep_hc_subject_type_v2_smoke_p2_h666_tsception_e2
