machine,source_archive,source_archive_sha256,remote_generated_at,run_id,run_dir,protocol,route_id,run_status,manifest_jobs,prediction_jobs,missing_artifacts,board_file,audit_file,jobs_file,board_n_jobs,mean,std,min,max
A,remote_protocol_scores_A.tgz,87d75a6bc9818fb7c6b9e2631c9ffb83016e353cae18d99be47b9fba7af70ffe,2026-05-23T23:51:59+0800,autofill_A_20260522_233115_001_p3_fixed_crop_ea_whitening_eps3e4_fbstcnet,outputs/autofill_A_20260522_233115_001_p3_fixed_crop_ea_whitening_eps3e4_fbstcnet/fixed_crop_ea_whitening_eps3e4_fbstcnet,p3_nested_selection,fixed_crop_ea_whitening_eps3e4_fbstcnet,complete,20,5,0,outputs/autofill_A_20260522_233115_001_p3_fixed_crop_ea_whitening_eps3e4_fbstcnet/fixed_crop_ea_whitening_eps3e4_fbstcnet/protocol3_board.csv,outputs/autofill_A_20260522_233115_001_p3_fixed_crop_ea_whitening_eps3e4_fbstcnet/fixed_crop_ea_whitening_eps3e4_fbstcnet/protocol3_audit.json,outputs/autofill_A_20260522_233115_001_p3_fixed_crop_ea_whitening_eps3e4_fbstcnet/fixed_crop_ea_whitening_eps3e4_fbstcnet/protocol3_jobs.csv,5,0.7084661866666667,0.02367586844702246,0.683704,0.7488640000000001
A,remote_protocol_scores_A.tgz,87d75a6bc9818fb7c6b9e2631c9ffb83016e353cae18d99be47b9fba7af70ffe,2026-05-23T23:51:59+0800,autofill_A_20260522_233119_002_p3_fixed_crop_ea_whitening_eps1e3_fbstcnet,outputs/autofill_A_20260522_233119_002_p3_fixed_crop_ea_whitening_eps1e3_fbstcnet/fixed_crop_ea_whitening_eps1e3_fbstcnet,p3_nested_selection,fixed_crop_ea_whitening_eps1e3_fbstcnet,complete,20,5,0,outputs/autofill_A_20260522_233119_002_p3_fixed_crop_ea_whitening_eps1e3_fbstcnet/fixed_crop_ea_whitening_eps1e3_fbstcnet/protocol3_board.csv,outputs/autofill_A_20260522_233119_002_p3_fixed_crop_ea_whitening_eps1e3_fbstcnet/fixed_crop_ea_whitening_eps1e3_fbstcnet/protocol3_audit.json,outputs/autofill_A_20260522_233119_002_p3_fixed_crop_ea_whitening_eps1e3_fbstcnet/fixed_crop_ea_whitening_eps1e3_fbstcnet/protocol3_jobs.csv,5,0.7082009066666667,0.02292837189965886,0.6829133333333334,0.7465354666666667
A,remote_protocol_scores_A.tgz,87d75a6bc9818fb7c6b9e2631c9ffb83016e353cae18d99be47b9fba7af70ffe,2026-05-23T23:51:59+0800,autofill_A_20260522_233123_003_p3_fixed_crop_whitening_eps3e4_fbstcnet,outputs/autofill_A_20260522_233123_003_p3_fixed_crop_whitening_eps3e4_fbstcnet/fixed_crop_whitening_eps3e4_fbstcnet,p3_nested_selection,fixed_crop_whitening_eps3e4_fbstcnet,complete,20,5,0,outputs/autofill_A_20260522_233123_003_p3_fixed_crop_whitening_eps3e4_fbstcnet/fixed_crop_whitening_eps3e4_fbstcnet/protocol3_board.csv,outputs/autofill_A_20260522_233123_003_p3_fixed_crop_whitening_eps3e4_fbstcnet/fixed_crop_whitening_eps3e4_fbstcnet/protocol3_audit.json,outputs/autofill_A_20260522_233123_003_p3_fixed_crop_whitening_eps3e4_fbstcnet/fixed_crop_whitening_eps3e4_fbstcnet/protocol3_jobs.csv,5,0.7121024533333333,0.033147050032602106,0.6709709333333332,0.7713106666666668
A,remote_protocol_scores_A.tgz,87d75a6bc9818fb7c6b9e2631c9ffb83016e353cae18d99be47b9fba7af70ffe,2026-05-23T23:51:59+0800,autofill_A_20260522_233127_004_p3_fixed_crop_car_fbstcnet,outputs/autofill_A_20260522_233127_004_p3_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet,p3_nested_selection,fixed_crop_car_fbstcnet,complete,20,5,0,outputs/autofill_A_20260522_233127_004_p3_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet/protocol3_board.csv,outputs/autofill_A_20260522_233127_004_p3_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet/protocol3_audit.json,outputs/autofill_A_20260522_233127_004_p3_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet/protocol3_jobs.csv,5,0.7249589866666666,0.03793880106230502,0.6859613333333332,0.791696
A,remote_protocol_scores_A.tgz,87d75a6bc9818fb7c6b9e2631c9ffb83016e353cae18d99be47b9fba7af70ffe,2026-05-23T23:51:59+0800,autofill_A_20260522_233131_005_p3_fixed_crop_ea_fbstcnet_m_conn_light,outputs/autofill_A_20260522_233131_005_p3_fixed_crop_ea_fbstcnet_m_conn_light/fixed_crop_ea_fbstcnet_m_conn_light,p3_nested_selection,fixed_crop_ea_fbstcnet_m_conn_light,complete,20,5,0,outputs/autofill_A_20260522_233131_005_p3_fixed_crop_ea_fbstcnet_m_conn_light/fixed_crop_ea_fbstcnet_m_conn_light/protocol3_board.csv,outputs/autofill_A_20260522_233131_005_p3_fixed_crop_ea_fbstcnet_m_conn_light/fixed_crop_ea_fbstcnet_m_conn_light/protocol3_audit.json,outputs/autofill_A_20260522_233131_005_p3_fixed_crop_ea_fbstcnet_m_conn_light/fixed_crop_ea_fbstcnet_m_conn_light/protocol3_jobs.csv,5,0.7104354133333334,0.030167210304829686,0.6782546666666667,0.7657226666666667
A,remote_protocol_scores_A.tgz,87d75a6bc9818fb7c6b9e2631c9ffb83016e353cae18d99be47b9fba7af70ffe,2026-05-23T23:51:59+0800,autofill_A_20260522_233135_006_p3_fixed_crop_ea_fbstcnet_c_only,outputs/autofill_A_20260522_233135_006_p3_fixed_crop_ea_fbstcnet_c_only/fixed_crop_ea_fbstcnet_c_only,p3_nested_selection,fixed_crop_ea_fbstcnet_c_only,complete,20,5,0,outputs/autofill_A_20260522_233135_006_p3_fixed_crop_ea_fbstcnet_c_only/fixed_crop_ea_fbstcnet_c_only/protocol3_board.csv,outputs/autofill_A_20260522_233135_006_p3_fixed_crop_ea_fbstcnet_c_only/fixed_crop_ea_fbstcnet_c_only/protocol3_audit.json,outputs/autofill_A_20260522_233135_006_p3_fixed_crop_ea_fbstcnet_c_only/fixed_crop_ea_fbstcnet_c_only/protocol3_jobs.csv,5,0.71244096,0.031001493207725002,0.6816413333333333,0.7664906666666665
A,remote_protocol_scores_A.tgz,87d75a6bc9818fb7c6b9e2631c9ffb83016e353cae18d99be47b9fba7af70ffe,2026-05-23T23:51:59+0800,autofill_A_20260523_002455_007_p2_fixed_crop_ea_fbstcnet_riem_guided_gate,outputs/autofill_A_20260523_002455_007_p2_fixed_crop_ea_fbstcnet_riem_guided_gate/fixed_crop_ea_fbstcnet_riem_guided_gate,p2_pseudo_public_holdout,fixed_crop_ea_fbstcnet_riem_guided_gate,complete,8,7,0,outputs/autofill_A_20260523_002455_007_p2_fixed_crop_ea_fbstcnet_riem_guided_gate/fixed_crop_ea_fbstcnet_riem_guided_gate/protocol2_board.csv,outputs/autofill_A_20260523_002455_007_p2_fixed_crop_ea_fbstcnet_riem_guided_gate/fixed_crop_ea_fbstcnet_riem_guided_gate/protocol2_audit.json,outputs/autofill_A_20260523_002455_007_p2_fixed_crop_ea_fbstcnet_riem_guided_gate/fixed_crop_ea_fbstcnet_riem_guided_gate/protocol2_jobs.csv,7,0.6785714285714286,0.12542444943872308,0.375,0.75
A,remote_protocol_scores_A.tgz,87d75a6bc9818fb7c6b9e2631c9ffb83016e353cae18d99be47b9fba7af70ffe,2026-05-23T23:51:59+0800,backfill_branch_grid_A_20260522_1927_ea_eps3e4_fbstcnet_p2,outputs/backfill_branch_grid_A_20260522_1927_ea_eps3e4_fbstcnet_p2/fixed_crop_ea_whitening_eps3e4_fbstcnet,p2_pseudo_public_holdout,fixed_crop_ea_whitening_eps3e4_fbstcnet,complete,8,7,0,outputs/backfill_branch_grid_A_20260522_1927_ea_eps3e4_fbstcnet_p2/fixed_crop_ea_whitening_eps3e4_fbstcnet/protocol2_board.csv,outputs/backfill_branch_grid_A_20260522_1927_ea_eps3e4_fbstcnet_p2/fixed_crop_ea_whitening_eps3e4_fbstcnet/protocol2_audit.json,outputs/backfill_branch_grid_A_20260522_1927_ea_eps3e4_fbstcnet_p2/fixed_crop_ea_whitening_eps3e4_fbstcnet/protocol2_jobs.csv,7,0.6517857142857144,0.1492849548093387,0.2916666666666667,0.75
A,remote_protocol_scores_A.tgz,87d75a6bc9818fb7c6b9e2631c9ffb83016e353cae18d99be47b9fba7af70ffe,2026-05-23T23:51:59+0800,backfill_branch_grid_A_20260522_1929_ea_eps1e3_base_p1_seed123,outputs/backfill_branch_grid_A_20260522_1929_ea_eps1e3_base_p1_seed123/fixed_crop_ea_whitening_eps1e3_fbstcnet,p1_repeated_group_kfold,fixed_crop_ea_whitening_eps1e3_fbstcnet,complete,5,5,0,outputs/backfill_branch_grid_A_20260522_1929_ea_eps1e3_base_p1_seed123/fixed_crop_ea_whitening_eps1e3_fbstcnet/protocol1_board.csv,outputs/backfill_branch_grid_A_20260522_1929_ea_eps1e3_base_p1_seed123/fixed_crop_ea_whitening_eps1e3_fbstcnet/protocol1_audit.json,outputs/backfill_branch_grid_A_20260522_1929_ea_eps1e3_base_p1_seed123/fixed_crop_ea_whitening_eps1e3_fbstcnet/protocol1_jobs.csv,5,0.7056671999999999,0.038647324750972205,0.6638093333333334,0.7721466666666666
A,remote_protocol_scores_A.tgz,87d75a6bc9818fb7c6b9e2631c9ffb83016e353cae18d99be47b9fba7af70ffe,2026-05-23T23:51:59+0800,backfill_branch_grid_A_20260522_1930_ea_eps1e3_c_only_p1_seed42,outputs/backfill_branch_grid_A_20260522_1930_ea_eps1e3_c_only_p1_seed42/fixed_crop_ea_whitening_eps1e3_fbstcnet_c_only,p1_repeated_group_kfold,fixed_crop_ea_whitening_eps1e3_fbstcnet_c_only,complete,5,5,0,outputs/backfill_branch_grid_A_20260522_1930_ea_eps1e3_c_only_p1_seed42/fixed_crop_ea_whitening_eps1e3_fbstcnet_c_only/protocol1_board.csv,outputs/backfill_branch_grid_A_20260522_1930_ea_eps1e3_c_only_p1_seed42/fixed_crop_ea_whitening_eps1e3_fbstcnet_c_only/protocol1_audit.json,outputs/backfill_branch_grid_A_20260522_1930_ea_eps1e3_c_only_p1_seed42/fixed_crop_ea_whitening_eps1e3_fbstcnet_c_only/protocol1_jobs.csv,5,0.6857996799999999,0.02547085759269557,0.6592919999999999,0.7200493333333333
