strict_route_id,rank,expert_side,member_idx,route_stem,variant_idx,weight,member_transform,member_strategy,route_path
strict_top7_moe_01,1,DEP,1,fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce,0,0.132,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce.yaml
strict_top7_moe_01,1,DEP,2,fixed_crop_ea_deformer_ff2_dep_w3_smooth005,0,0.296,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_ea_deformer_ff2_dep_w3_smooth005.yaml
strict_top7_moe_01,1,DEP,3,fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce,1,0.347,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce.yaml
strict_top7_moe_01,1,DEP,4,fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce,0,0.224,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce.yaml
strict_top7_moe_01,1,HC,1,fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20,0,0.146,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20.yaml
strict_top7_moe_01,1,HC,2,fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20,0,0.024,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20.yaml
strict_top7_moe_01,1,HC,3,fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce,0,0.489,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce.yaml
strict_top7_moe_01,1,HC,4,sliding_ea_dgcnn_w6_s1_hc_w3_ce,1,0.237,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/sliding_ea_dgcnn_w6_s1_hc_w3_ce.yaml
strict_top7_moe_01,1,HC,5,fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce,1,0.103,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce.yaml
strict_top7_moe_02,2,DEP,1,fixed_crop_ea_deformer_ff2_dep_w3_smooth005,0,0.466,raw,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_ea_deformer_ff2_dep_w3_smooth005.yaml
strict_top7_moe_02,2,DEP,2,fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_w3_smooth005,1,0.339,raw,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_w3_smooth005.yaml
strict_top7_moe_02,2,DEP,3,fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce,0,0.155,raw,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce.yaml
strict_top7_moe_02,2,DEP,4,fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_dep_resample3_ce,0,0.041,raw,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_dep_resample3_ce.yaml
strict_top7_moe_02,2,HC,1,fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20,0,0.146,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20.yaml
strict_top7_moe_02,2,HC,2,fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20,0,0.024,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20.yaml
strict_top7_moe_02,2,HC,3,fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce,0,0.489,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce.yaml
strict_top7_moe_02,2,HC,4,sliding_ea_dgcnn_w6_s1_hc_w3_ce,1,0.237,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/sliding_ea_dgcnn_w6_s1_hc_w3_ce.yaml
strict_top7_moe_02,2,HC,5,fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce,1,0.103,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce.yaml
strict_top7_moe_03,3,DEP,1,fixed_crop_ea_deformer_ff2_dep_w2_ce,0,0.367,sigmoid_t0p5,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_ea_deformer_ff2_dep_w2_ce.yaml
strict_top7_moe_03,3,DEP,2,fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce,1,0.411,sigmoid_t0p5,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce.yaml
strict_top7_moe_03,3,DEP,3,fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005,0,0.059,sigmoid_t0p5,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005.yaml
strict_top7_moe_03,3,DEP,4,fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce,0,0.162,sigmoid_t0p5,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce.yaml
strict_top7_moe_03,3,HC,1,fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20,0,0.146,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20.yaml
strict_top7_moe_03,3,HC,2,fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20,0,0.024,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20.yaml
strict_top7_moe_03,3,HC,3,fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce,0,0.489,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce.yaml
strict_top7_moe_03,3,HC,4,sliding_ea_dgcnn_w6_s1_hc_w3_ce,1,0.237,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/sliding_ea_dgcnn_w6_s1_hc_w3_ce.yaml
strict_top7_moe_03,3,HC,5,fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce,1,0.103,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce.yaml
strict_top7_moe_04,4,DEP,1,fixed_crop_dgcnn_noea_zscore_dep_w3_focal15,0,0.566,sigmoid_t1p0,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_dgcnn_noea_zscore_dep_w3_focal15.yaml
strict_top7_moe_04,4,DEP,2,fixed_crop_ea_deformer_ff2_dep_w3_smooth005,0,0.102,sigmoid_t1p0,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_ea_deformer_ff2_dep_w3_smooth005.yaml
strict_top7_moe_04,4,DEP,3,fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_only_ce,0,0.055,sigmoid_t1p0,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_only_ce.yaml
strict_top7_moe_04,4,DEP,4,fixed_crop_car_fbstcnet_robust_clip_train_mad8_v1_dep_resample3_ce,1,0.277,sigmoid_t1p0,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_robust_clip_train_mad8_v1_dep_resample3_ce.yaml
strict_top7_moe_04,4,HC,1,fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20,0,0.146,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20.yaml
strict_top7_moe_04,4,HC,2,fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20,0,0.024,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20.yaml
strict_top7_moe_04,4,HC,3,fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce,0,0.489,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce.yaml
strict_top7_moe_04,4,HC,4,sliding_ea_dgcnn_w6_s1_hc_w3_ce,1,0.237,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/sliding_ea_dgcnn_w6_s1_hc_w3_ce.yaml
strict_top7_moe_04,4,HC,5,fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce,1,0.103,sigmoid_t1p0,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce.yaml
strict_top7_moe_05,5,DEP,1,fixed_crop_car_fbstcnet_robust_clip_mad8_robust_zscore_v1_dep_mix75_ce,1,0.193,raw,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_robust_clip_mad8_robust_zscore_v1_dep_mix75_ce.yaml
strict_top7_moe_05,5,DEP,2,fixed_crop_whitening_eps1e3_fbstcnet_m_conn_light_dep_w3_ce,0,0.095,raw,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_whitening_eps1e3_fbstcnet_m_conn_light_dep_w3_ce.yaml
strict_top7_moe_05,5,DEP,3,fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005,0,0.44,raw,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005.yaml
strict_top7_moe_05,5,DEP,4,fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_focal20,0,0.273,raw,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_focal20.yaml
strict_top7_moe_05,5,HC,1,fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_focal20,0,0.014,sigmoid_t0p75,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_focal20.yaml
strict_top7_moe_05,5,HC,2,fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15,0,0.66,sigmoid_t0p75,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15.yaml
strict_top7_moe_05,5,HC,3,sliding_ea_dgcnn_w6_s1_hc_w3_ce,1,0.181,sigmoid_t0p75,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/sliding_ea_dgcnn_w6_s1_hc_w3_ce.yaml
strict_top7_moe_05,5,HC,4,fixed_crop_car_fbstcnet_time_shift_v1_hc_w3_focal15,0,0.002,sigmoid_t0p75,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_time_shift_v1_hc_w3_focal15.yaml
strict_top7_moe_05,5,HC,5,fixed_crop_car_fbstcnet_band_amp_scale_weak_v1_hc_w3_smooth005,0,0.143,sigmoid_t0p75,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_band_amp_scale_weak_v1_hc_w3_smooth005.yaml
strict_top7_moe_06,6,DEP,1,fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce,0,0.132,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce.yaml
strict_top7_moe_06,6,DEP,2,fixed_crop_ea_deformer_ff2_dep_w3_smooth005,0,0.296,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_ea_deformer_ff2_dep_w3_smooth005.yaml
strict_top7_moe_06,6,DEP,3,fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce,1,0.347,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce.yaml
strict_top7_moe_06,6,DEP,4,fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce,0,0.224,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce.yaml
strict_top7_moe_06,6,HC,1,fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce,0,0.339,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce.yaml
strict_top7_moe_06,6,HC,2,fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce,0,0.059,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce.yaml
strict_top7_moe_06,6,HC,3,fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15,0,0.355,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15.yaml
strict_top7_moe_06,6,HC,4,sliding_ea_dgcnn_w6_s1_hc_w2_ce,1,0.247,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/sliding_ea_dgcnn_w6_s1_hc_w2_ce.yaml
strict_top7_moe_07,7,DEP,1,fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce,0,0.132,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce.yaml
strict_top7_moe_07,7,DEP,2,fixed_crop_ea_deformer_ff2_dep_w3_smooth005,0,0.296,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_ea_deformer_ff2_dep_w3_smooth005.yaml
strict_top7_moe_07,7,DEP,3,fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce,1,0.347,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce.yaml
strict_top7_moe_07,7,DEP,4,fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce,0,0.224,sigmoid_t1p25,random,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce.yaml
strict_top7_moe_07,7,HC,1,fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce,0,0.339,sigmoid_t1p25,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce.yaml
strict_top7_moe_07,7,HC,2,fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce,0,0.059,sigmoid_t1p25,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce.yaml
strict_top7_moe_07,7,HC,3,fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15,0,0.355,sigmoid_t1p25,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15.yaml
strict_top7_moe_07,7,HC,4,sliding_ea_dgcnn_w6_s1_hc_w2_ce,1,0.247,sigmoid_t1p25,asha,scratch/emotion_asha/full_expert_routes_20260525_2015/routes/sliding_ea_dgcnn_w6_s1_hc_w2_ce.yaml
