kind,label,mean_ba,dep_mean_ba,hc_mean_ba,cohort_gap,min_group_ba,n_groups,strict_route_id,rank,policy
strict_top7_p2_policy,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7916666666666666,0.8125,0.78125,0.03125,0.5,12,strict_top7_moe_01,1,p2__eval_crop1
strict_top7_p2_policy,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7916666666666666,0.8125,0.78125,0.03125,0.5,12,strict_top7_moe_01,1,p2__eval_crop2
strict_top7_p2_policy,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.8125,0.75,0.84375,0.09375,0.5,12,strict_top7_moe_01,1,p2__eval_crop3
strict_top7_p2_policy,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7708333333333334,0.75,0.78125,0.03125,0.5,12,strict_top7_moe_01,1,p2__eval_crop4
strict_top7_p2_policy,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7708333333333334,0.8125,0.75,0.0625,0.5,12,strict_top7_moe_01,1,p2__eval_crop5
strict_top7_p2_policy,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7916666666666666,0.75,0.8125,0.0625,0.5,12,strict_top7_moe_01,1,p2__eval_random
strict_top7_p2_policy,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.5416666666666666,0.4375,0.59375,0.15625,0.0,12,strict_top7_moe_01,1,p2__eval_worst
strict_top7_p2_policy,second_stage_moe:p1_oof_quota_hard:raw:dep=random:raw:w4:fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.466+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_w3_smooth005__s42__v1:0.339+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.155+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_dep_resample3_ce__s42__v0:0.041 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7708333333333334,0.8125,0.75,0.0625,0.25,12,strict_top7_moe_02,2,p2__eval_crop1
strict_top7_p2_policy,second_stage_moe:p1_oof_quota_hard:raw:dep=random:raw:w4:fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.466+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_w3_smooth005__s42__v1:0.339+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.155+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_dep_resample3_ce__s42__v0:0.041 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7708333333333334,0.75,0.78125,0.03125,0.5,12,strict_top7_moe_02,2,p2__eval_crop2
strict_top7_p2_policy,second_stage_moe:p1_oof_quota_hard:raw:dep=random:raw:w4:fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.466+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_w3_smooth005__s42__v1:0.339+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.155+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_dep_resample3_ce__s42__v0:0.041 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7916666666666666,0.6875,0.84375,0.15625,0.5,12,strict_top7_moe_02,2,p2__eval_crop3
strict_top7_p2_policy,second_stage_moe:p1_oof_quota_hard:raw:dep=random:raw:w4:fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.466+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_w3_smooth005__s42__v1:0.339+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.155+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_dep_resample3_ce__s42__v0:0.041 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7708333333333334,0.75,0.78125,0.03125,0.5,12,strict_top7_moe_02,2,p2__eval_crop4
