strict_route_id,rank,outer_seed,outer_fold,baseline_mean_ba,baseline_dep_mean_ba,baseline_hc_mean_ba,selected_mean_ba,selected_dep_mean_ba,selected_hc_mean_ba,selected_gap,selected_min_group_ba,delta_mean_ba,dep_weight_label,hc_weight_label,dep_weights,hc_weights,router_name,router_transform,inner_selected_objective
strict_top7_moe_01,1,*,0,0.7850495999999999,0.7597408,0.7934858666666665,0.789732,0.7586432000000001,0.8000949333333334,0.041451733333333296,0.51504,0.0046824000000000865,dirichlet_007,dirichlet_007,"[0.09900751154049292, 0.1383457659070187, 0.4727908069943392, 0.2898559155581493]","[0.0735477562325077, 0.10659717132918811, 0.3935978033043361, 0.27778980012384374, 0.14846746901012434]",p1_oof_rank_soft_t0p1,raw,0.7818847656249999
strict_top7_moe_01,1,*,1,0.7698617600000002,0.6487974399999998,0.8102165333333334,0.76780688,0.6495891199999999,0.8072128,0.15762368000000004,0.508,-0.002054880000000203,dirichlet_003,uniform,"[0.13724265862434262, 0.3689653083276636, 0.3363073257531867, 0.15748470729480715]","[0.2, 0.2, 0.2, 0.2, 0.2]",p1_oof_rank_soft_t0p1,raw,0.79404296875
strict_top7_moe_01,1,*,2,0.7495584000000001,0.6824512,0.7719274666666667,0.750456,0.697824,0.7679999999999999,0.0701759999999999,0.49936,0.0008975999999999429,dirichlet_003,uniform,"[0.13724265862434262, 0.3689653083276636, 0.3363073257531867, 0.15748470729480715]","[0.2, 0.2, 0.2, 0.2, 0.2]",p1_oof_rank_soft_t0p1,raw,0.7932600911458334
strict_top7_moe_01,1,*,3,0.80236,0.717728,0.8305706666666666,0.7963576,0.7063072,0.8263744000000001,0.12006720000000004,0.48712,-0.006002399999999963,dirichlet_002,uniform,"[0.12933695784591617, 0.06623755513133367, 0.5686271063982141, 0.23579838062453595]","[0.2, 0.2, 0.2, 0.2, 0.2]",p1_oof_rank_soft_t0p1,raw,0.7839078776041667
strict_top7_moe_01,1,*,4,0.78849888,0.67665152,0.8257813333333333,0.79432624,0.68523776,0.8306890666666665,0.1454513066666665,0.5784,0.005827359999999948,dirichlet_003,uniform,"[0.13724265862434262, 0.3689653083276636, 0.3363073257531867, 0.15748470729480715]","[0.2, 0.2, 0.2, 0.2, 0.2]",p1_oof_rank_soft_t0p1,raw,0.7864762369791667
strict_top7_moe_02,2,*,0,0.7858664,0.7642367999999999,0.7930762666666665,0.7882863999999999,0.7567712,0.7987914666666664,0.04202026666666647,0.51832,0.0024199999999999777,base,dirichlet_005,"[0.4655344655344655, 0.33866133866133863, 0.15484515484515482, 0.04095904095904095]","[0.1950887871720043, 0.15693564186223308, 0.2715268443291958, 0.2913748471092964, 0.0850738795272702]",p1_oof_quota_hard,raw,0.7785514322916667
strict_top7_moe_02,2,*,1,0.7689332799999999,0.6477235199999999,0.8093365333333333,0.76437024,0.63780416,0.8065589333333333,0.16875477333333333,0.506768,-0.004563039999999963,uniform,dirichlet_003,"[0.25, 0.25, 0.25, 0.25]","[0.15440281878296513, 0.047249645666735646, 0.40228372360993464, 0.19731701616879394, 0.19874679577157067]",p1_oof_rank_soft_t0p1,raw,0.7899544270833334
strict_top7_moe_02,2,*,2,0.7493576000000001,0.685248,0.7707274666666668,0.7452799999999999,0.692464,0.7628853333333333,0.07042133333333334,0.459776,-0.004077600000000126,dirichlet_005,dirichlet_005,"[0.31909202163232486, 0.5250132218420747, 0.070812203310454, 0.08508255321514645]","[0.1950887871720043, 0.15693564186223308, 0.2715268443291958, 0.2913748471092964, 0.0850738795272702]",p1_oof_rank_soft_t0p1,raw,0.7918831380208334
strict_top7_moe_02,2,*,3,0.8011712000000001,0.7129728,0.8305706666666666,0.7950007999999998,0.7112640000000001,0.8229130666666667,0.11164906666666663,0.44184,-0.006170400000000242,dirichlet_005,dirichlet_006,"[0.31909202163232486, 0.5250132218420747, 0.070812203310454, 0.08508255321514645]","[0.09739840511603444, 0.3533181502362683, 0.3030915548279067, 0.16931396024669976, 0.07687792957309078]",p1_oof_rank_soft_t0p1,sigmoid_t1p0,0.7802522786458334
strict_top7_moe_02,2,*,4,0.7870896,0.6772256,0.8237109333333332,0.7914584,0.6764704,0.8297877333333334,0.15331733333333342,0.567728,0.0043688000000000615,base,dirichlet_005,"[0.4655344655344655, 0.33866133866133863, 0.15484515484515482, 0.04095904095904095]","[0.1950887871720043, 0.15693564186223308, 0.2715268443291958, 0.2913748471092964, 0.0850738795272702]",p1_oof_quota_hard,raw,0.7836702473958334
