route_stem,variant_idx,cohort,candidate_id_seed42,budget_epochs,expert_metric_name,expert_metric_value,dep_mean_ba_2fold,hc_mean_ba_2fold,target_mean_ba_2fold,other_mean_ba_2fold
fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce,1,HC,fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1,72,hc_expert_floor_objective,0.9060397628859732,0.6540768,0.7621733333333334,0.7621733333333334,0.6540768
fixed_crop_car_fbstcnet_band_amp_scale_weak_v1_hc_w3_smooth005,0,HC,fixed_crop_car_fbstcnet_band_amp_scale_weak_v1_hc_w3_smooth005__s42__v0,72,hc_expert_floor_objective,0.95559564113024,0.6936272,0.800848,0.800848,0.6936272
fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20,0,HC,fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0,72,hc_expert_floor_objective,0.95218080050176,0.6972096,0.79768,0.79768,0.6972096
fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_dep_resample3_ce,0,DEP,fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_dep_resample3_ce__s42__v0,72,dep_expert_floor_objective,0.90671432,0.7559584,0.7530533333333334,0.7559584,0.7530533333333334
fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce,0,HC,fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce__s42__v0,72,hc_expert_floor_objective,0.9038092533333334,0.7559584,0.7530533333333334,0.7530533333333334,0.7559584
fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_focal20,0,HC,fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_focal20__s42__v0,72,hc_expert_floor_objective,0.9038092533333334,0.7559584,0.7530533333333334,0.7530533333333334,0.7559584
fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20,0,HC,fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0,72,hc_expert_floor_objective,0.95160684157056,0.6939536,0.79736,0.79736,0.6939536
fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce,0,HC,fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce__s42__v0,72,hc_expert_floor_objective,0.95160684157056,0.6939536,0.79736,0.79736,0.6939536
fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce,0,HC,fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0,72,hc_expert_floor_objective,0.9578789680977068,0.6708208,0.8048826666666666,0.8048826666666666,0.6708208
fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15,0,HC,fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15__s42__v0,72,hc_expert_floor_objective,0.9578789680977068,0.6708208,0.8048826666666666,0.8048826666666666,0.6708208
fixed_crop_car_fbstcnet_robust_clip_mad8_robust_zscore_v1_dep_mix75_ce,1,DEP,fixed_crop_car_fbstcnet_robust_clip_mad8_robust_zscore_v1_dep_mix75_ce__s42__v1,72,dep_expert_floor_objective,0.88132256,0.7312752,0.7565573333333333,0.7312752,0.7565573333333333
fixed_crop_car_fbstcnet_robust_clip_train_mad8_v1_dep_resample3_ce,1,DEP,fixed_crop_car_fbstcnet_robust_clip_train_mad8_v1_dep_resample3_ce__s42__v1,72,dep_expert_floor_objective,0.86861352,0.7196224,0.7534000000000001,0.7196224,0.7534000000000001
fixed_crop_car_fbstcnet_time_shift_v1_hc_w3_focal15,0,HC,fixed_crop_car_fbstcnet_time_shift_v1_hc_w3_focal15__s42__v0,72,hc_expert_floor_objective,0.94823313458304,0.6883408,0.7948,0.7948,0.6883408
fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce,1,DEP,fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1,72,dep_expert_floor_objective,0.8696306399999999,0.7187087999999999,0.766576,0.7187087999999999,0.766576
fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_w3_smooth005,1,DEP,fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_w3_smooth005__s42__v1,72,dep_expert_floor_objective,0.8696306399999999,0.7187087999999999,0.766576,0.7187087999999999,0.766576
fixed_crop_dgcnn_noea_zscore_dep_w3_focal15,0,DEP,fixed_crop_dgcnn_noea_zscore_dep_w3_focal15__s42__v0,72,dep_expert_floor_objective,0.914404492416,0.775632,0.673584,0.775632,0.673584
fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005,0,DEP,fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005__s42__v0,72,dep_expert_floor_objective,0.914404492416,0.775632,0.673584,0.775632,0.673584
fixed_crop_ea_deformer_ff2_dep_w2_ce,0,DEP,fixed_crop_ea_deformer_ff2_dep_w2_ce__s42__v0,72,dep_expert_floor_objective,0.92554850157696,0.782096,0.6958256,0.782096,0.6958256
fixed_crop_ea_deformer_ff2_dep_w3_smooth005,0,DEP,fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0,72,dep_expert_floor_objective,0.9256240190702932,0.782096,0.6962922666666667,0.782096,0.6962922666666667
fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce,0,DEP,fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0,72,dep_expert_floor_objective,0.8877868577173333,0.746984,0.6905786666666667,0.746984,0.6905786666666667
